Key,Russian,English
Settings.CorrectAnswer,Правильный ответ,Correct answer
Settings.BackgroundMusic,Фоновая музыка,Background music
Settings.GoToLevel,Переход к уровню,Go to level
Settings.TakingAnItem,Взятие предмета,Taking an item
Settings.UploadNewTopic,Загрузить новую тему,Upload new topic
Settings.UploadSounds,Загрузить звуки,Upload sounds
Settings.RefreshFileList,Обновить список файлов,Refresh file list
Settings.BackToMenu,Вернуться в меню,Back to menu
Settings.TurnOffSounds,Отключить звук,Turn off sounds
Settings.TurnOnSounds,Включить звук,Turn on sounds
